Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1zGNuQ53R7c190RG40dHxcHv8tJuT3cBaclm8CjI-luY/gviz/tq?tqx=out:csv&sheet=Data

---

"The data below is using the default slicer values (all disabled) to display the number of pulls from each source. Version","1.0 [49]","1.1 [35]","1.2 [49]","1.3 [42]","","","","","","","","","","","","","","","","","","","","",""
"Daily Activity","20.6","14.7","20.6","17.6","","","","","","","","","","","","","","","","","","","","",""
"Weekly Routine","7.0","5.0","7.0","6.0","","","","","","","","","","","","","","","","","","","","",""
"Originium Supply Pass","2.4","2.3","2.4","2.4","","","","","","","","","","","","","","","","","","","","",""
"Monumental Etching","4.8","2.4","2.4","2.4","","","","","","","","","","","","","","","","","","","","",""
"Permanent Content","129.4","24.6","20.0","8.7","","","","","","","","","","","","","","","","","","","","",""
"Events","19.0","12.6","26.4","13.2","","","","","","","","","","","","","","","","","","","","",""
"Mailbox & Web Events","35.1","9.5","9.1","9.2","","","","","","","","","","","","","","","","","","","","",""
"F2P Headhunt Total","218.3","71.1","87.9","59.5","","","","","","","","","","","","","","","","","","","","",""
"Weekly","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recurring","5.0","4.9","4.6","4.7","","","","","","","","","","","","","","","","","","","","",""
"Non-Recurring             ","26.2","9.3","7.9","5.2","","","","","","","","","","","","","","","","","","","","",""
"Weekly Headhunt Total","31.2","14.2","12.6","9.9","","","","","","","","","","","","","","","","","","","","",""
"Basic Headhunt Total","114","16","23","12","","","","","","","","","","","","","","","","","","","","",""
"Arsenal Ticket Total","700","500","700","600","","","","","","","","","","","","","","","","","","","","",""

