Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1zGNuQ53R7c190RG40dHxcHv8tJuT3cBaclm8CjI-luY/gviz/tq?tqx=out:csv&sheet=1.3

---

"1.3: Sketches of Lost Heirlooms","","","","","","Notes","42","Version Duration (Days)","","","","","06.05.2026","Release Date",""
"EVENTS","6600","10.0","2.0","0.0","0","","","","","","","","","",""
"Combat Drills","","","","","","","","","","","","","","",""
"   Mi Fu","100","","","","","","","","","","","","","",""
"   Camille","100","","","","","","","","","","","","","",""
"Chartered Headhunting Sign-In","","","","","","","","","","","","","","",""
"   [Fist of No Regrets] One With Her Fists","","5.0","","","","Temporary Chartered HH Permits.","","","","","","","","",""
"   [Expunger of Sin] Peacekeeper's Nocturne","","5.0","","","","Temporary Chartered HH Permits.","","","","","","","","",""
"Search for Sword Vault Dale","1200","","","","","","","","","","","","","",""
"Contingency Contract: Re-Ignition Experimental Operation","2000","","","","","","","","","","","","","",""
"Trial Algorithmics","1200","","","","","","","","","","","","","",""
"Carly's Fairytale of Wuling","1500","","","","","","","","","","","","","",""
"Pre-Event Sign-In","500","","2.0","","","","","","","","","","","",""
"Contingency Readiness","","","","","","","","","","","","","","",""
"Sanity Supply","","","","","","Event runs twice.","","","","","","","","",""
"PERMANENT CONTENT","4330","0.0","4.0","8.0","0","","","","","","","","","",""
"Operation Manual","","","","","","","","","","","","","","",""
"Crisis Fragment","","","","","","","","","","","","","","",""
"   Craghowler Level 1","30","","","","","","","","","","","","","",""
"   Craghowler Level 2","30","","","","","","","","","","","","","",""
"Energy Alluvium","","","","","","","","","","","","","","",""
"   Sword Vault Dale","25","","","","","","","","","","","","","",""
"Operator Guide","","","","","","","","","","","","","","",""
"   Mi Fu","20","","","","","","","","","","","","","",""
"   Camille","20","","","","","","","","","","","","","",""
"Region","","","","","","","","","","","","","","",""
"Regional Development","","","","","","","","","","","","","","",""
"    Level 16","200","","1.0","","","","","","","","","","","",""
"    Level 17","200","","1.0","","","","","","","","","","","",""
"    Level 18","200","","1.0","","","","","","","","","","","",""
"Stock Redistribution","","","","","","","","","","","","","","",""
"   Marker Stone Level 3","","","1.0","","","","","","","","","","","",""
"Early Warning Terminal - Sky King Flats","","","","","","","","","","","","","","",""
"   Risk Level 4","80","","","","","","","","","","","","","",""
"Aurelyne","","","","","","","","","","","","","","",""
"    Phase 14","","","","3.0","","","","","","","","","","",""
"    Phase 15","","","","3.0","","","","","","","","","","",""
"Exploration","","","","","","","","II","","","","","","Repair (20)",""
"   Sword Vault Dale","1455","","","2.0","","","9","21","","","2","2","","2",""
"Deep Vaulted Steel","240","","","","","","","","","","","","","",""
"OD Project: Sky King Flats III","50","","","","","","","","","","","","","",""
"Trial of Swordmancy","75","","","","","","","","","","","","","",""
"Mi Fu: A Fistful of Reflections","","","","","","","","","","","","","","",""
"   The Captain's Mystery","","","","","","","","","","","","","","",""
"   The Pugilist's Challenge","","","","","","","","","","","","","","",""
"   The Warrior's Ambition","600","","","","","","","","","","","","","",""
"Camille: Danse Macabre","","","","","","","","","","","","","","",""
"   Sanguine Inquiry","600","","","","","","","","","","","","","",""
"Cliffside Riddles of Steel","75","","","","","","","","","","","","","",""
"Other Permanent Content","","","","","","","","","","","","","","",""
"Intel Gathering","","","","","","","","","","","","","","",""
"   Yanese Ruins of Sword Vault Dale","200","","","","","","","","","","","","","",""
"Crafting Manual","","","","","","","25","50","","","","","","",""
"   Century Rind","75","","","","","","","TRUE","FALSE","FALSE","","","","",""
"   Caudal Goldscale","155","","","","","","","TRUE","TRUE","FALSE","","","","",""
"MAILBOX & WEB EVENTS","4609","0.0","0.0","0.0","0","","","","","","","","","",""
"Daily Sign-in","359","","","","","","","","","","","","","",""
"Maintenance Compensation","900","","","","","","","","","","","","","",""
"Version Bug Fix Compensation","900","","","","","","","","","","","","","",""
"1.3 Preview Stream Gift","1000","","","","","","","","","","","","","",""
"Twitch Drop Rewards","150","","","","","","","","","","","","","",""
"Version Experience Survey","300","","","","","","","","","","","","","",""
"06/06 Compensation","200","","","","","","","","","","","","","",""
"06/26 Compensation","800","","","","","","","","","","","","","",""
"RECURRING SOURCES","14220","0.0","6.0","3.0","600","","","","","","","","","",""
"Daily Activity","8820","","","","","Resets every day. Includes 10 Oroberyl/day from Credits.","42","","","","","","","",""
"Weekly Routine","3000","","","","600","Resets every week.","6","","","","","","","",""
"Monumental Etching","1200","","","","","","1","","","","","","","",""
"   Dirge of Grief","","","","","","","","","","","","","","",""
"Originium Supply Pass","1200","","6.0","3.0","","Resets every Version. Net of Origemetry cost.","49","Estimated 23 ∞ Cycle Rewards.","","","","","","",""
"TOTAL F2P","29759","10.0","12.0","11.0","600","","","","","","","","","",""
"AIC Quota Exchange","","10.0","","","","Temporary Chartered HH Permits.","2","","","","","","","",""
"Urgent Recruit","","20.0","","","","Does NOT count toward pity.","2","","","","","","","",""
"Headhunting Dossier","","20.0","","","","Temporary Chartered HH Permits.","2","","","","","","","",""
"Special HH Reward","","","0.0","","","Replaces Headhunting Dossier in Special HH.","0","","","","","","","",""
"Protocol Customized Pass","601","","","36.0","2400","","27","Estimated 27 ∞ Cycle Rewards.","","","","","","",""
"Monthly Pass","8400","","","16.8","","","","","","","","","","",""
"TOTAL F2P+EXTRAS","38760","60.0","12.0","63.8","3000","","","","","","","","","",""

